station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
31,36.36177,127.35748,yuseong-gu,858,0.17916,2.04385,1.77098,24.45526,303.07866,4
32,36.35929,127.3545,yuseong-gu,819,0.17482,1.89244,1.516,18.34834,225.67442,4
33,36.35849,127.3612,seo-gu,900,0.24532,2.19759,1.61259,17.95067,270.62148,4
34,36.35821,127.36614,seo-gu,228,0.23519,2.57478,2.02634,22.0297,112.09476,4
35,36.35758,127.37206,seo-gu,397,0.20941,2.19414,2.00249,17.14089,61.1542,4
36,36.35751,127.39652,seo-gu,219,0.15675,1.82238,2.36711,19.83068,61.59173,4
37,36.35791,127.39764,seo-gu,149,0.15675,1.82238,2.36711,19.83068,61.59173,4
38,36.35456,127.35479,seo-gu,150,0.18443,2.11052,2.23839,28.59617,112.34407,4
39,36.35121,127.35193,seo-gu,54,0.20373,2.08674,1.81633,23.0324,131.58266,4
40,36.35279,127.35605,seo-gu,82,0.17664,2.21054,2.58538,25.45321,52.73549,4
41,36.35373,127.36185,seo-gu,105,0.17392,2.05581,2.18847,25.15065,42.23834,4
42,36.35342,127.3679,seo-gu,247,0.2148,2.69754,2.30907,29.04284,35.43432,4
43,36.35333,127.37441,seo-gu,681,0.19888,2.05055,1.97453,10.65024,438.19363,4
44,36.35449,127.38281,seo-gu,386,0.15264,1.78391,2.10631,20.81216,192.4636,4
45,36.35137,127.39831,seo-gu,395,0.17865,2.14671,2.86851,14.99122,22.67104,4
46,36.34756,127.37725,seo-gu,524,0.20175,2.38343,2.43439,21.51002,108.74016,4
47,36.34845,127.38278,seo-gu,390,0.20899,2.23024,2.21925,18.25518,23.85195,4
48,36.34651,127.38513,seo-gu,529,0.19793,2.31054,2.63849,22.90238,77.23855,4
49,36.34721,127.39003,seo-gu,346,0.19123,2.13891,2.07421,31.10557,174.98974,4
51,36.34861,127.39868,seo-gu,421,0.16732,2.19605,3.03246,20.99829,11.84243,4
52,36.34348,127.38114,seo-gu,183,0.15528,2.06936,2.32466,23.00733,298.90288,4
53,36.34336,127.38346,seo-gu,203,0.15848,2.10314,2.74414,22.78076,318.23633,4
54,36.36503,127.33865,yuseong-gu,528,0.22075,2.00075,1.26366,27.68973,23.09781,4
55,36.36245,127.34413,yuseong-gu,813,0.18937,2.08385,1.91503,19.47182,140.30412,4
56,36.36174,127.34499,yuseong-gu,1136,0.18937,2.08385,1.91503,19.47182,140.30412,4
57,36.35793,127.34279,yuseong-gu,580,0.19525,2.11057,1.76028,24.12307,66.05695,4
58,36.35643,127.33112,yuseong-gu,114,0.21373,2.18408,1.81373,23.65998,19.80146,4
59,36.35426,127.3415,yuseong-gu,620,0.2133,2.31134,1.7081,21.22661,87.01261,4
60,36.35321,127.34113,yuseong-gu,576,0.2133,2.31134,1.7081,21.22661,87.01261,4
61,36.35213,127.34601,yuseong-gu,219,0.18394,1.97054,2.04693,22.61343,105.25767,4
62,36.35026,127.34059,yuseong-gu,194,0.17508,1.93162,2.26531,30.65765,5.42689,4
63,36.34838,127.33577,yuseong-gu,185,0.17518,1.92915,2.05331,30.80087,5.0377,4
64,36.34828,127.33073,yuseong-gu,174,0.20461,2.21431,1.69107,31.93104,5.0191,4
65,36.34877,127.3444,yuseong-gu,11,0.16784,1.86738,2.62178,30.27204,5.27799,4
66,36.34571,127.34036,yuseong-gu,278,0.16665,1.86483,2.2412,30.52373,5.52682,4
67,36.34491,127.33557,yuseong-gu,176,0.16704,1.86197,2.20992,30.63697,5.5604,4
68,36.34187,127.34488,yuseong-gu,379,0.17703,1.91375,2.2199,30.60605,7.29566,4
69,36.34279,127.33748,yuseong-gu,135,0.16685,1.86216,2.24751,30.5828,5.36595,4
70,36.33805,127.33836,yuseong-gu,228,0.1722,1.86952,1.94154,29.32744,10.02848,4
71,36.37147,127.42859,daedeog-gu,135,0.22292,2.93915,3.1621,31.35674,12.02716,4
72,36.37017,127.42936,daedeog-gu,22,0.21624,2.86969,3.1841,31.5627,11.90075,4
73,36.36741,127.42974,daedeog-gu,98,0.2147,2.86045,3.18036,31.57635,12.43274,4
74,36.36668,127.42607,daedeog-gu,95,0.20652,2.80973,3.28125,31.47755,13.06395,4
75,36.36652,127.43036,daedeog-gu,50,0.2147,2.86045,3.18036,31.57635,12.43274,4
76,36.36767,127.43636,daedeog-gu,83,0.22023,2.90257,3.23008,31.55694,11.35851,4
77,36.36836,127.44031,daedeog-gu,79,0.22806,2.97258,3.13299,31.62708,9.99251,4
78,36.36318,127.43128,daedeog-gu,57,0.20869,2.75746,2.90627,28.82771,11.66218,4
79,36.36201,127.43554,daedeog-gu,41,0.21195,2.76689,2.90029,27.87007,11.20549,4
80,36.36285,127.4387,daedeog-gu,80,0.21908,2.91293,3.18433,31.70428,11.21687,4
81,36.36466,127.44097,daedeog-gu,114,0.21729,2.89075,3.32187,31.54552,10.32065,4
82,36.36604,127.44487,daedeog-gu,151,0.21492,2.87221,3.32105,31.31665,9.68374,4
83,36.33065,127.39826,jung-gu,147,0.22657,2.79446,1.966,31.97721,61.8839,4
84,36.32624,127.39281,jung-gu,64,0.27486,3.44625,1.75665,33.04207,84.17139,4
85,36.32613,127.39697,jung-gu,74,0.27667,3.45315,1.73326,32.62914,85.52137,4
86,36.32327,127.39363,jung-gu,194,0.261,3.32251,1.77944,32.66295,87.60729,4
87,36.32256,127.39745,jung-gu,138,0.25932,3.28742,1.79644,32.05992,90.52147,4
88,36.32143,127.39401,jung-gu,54,0.24537,3.17334,1.82756,32.15934,90.16667,4
89,36.31978,127.39241,jung-gu,124,0.24903,3.1608,1.43437,33.90411,34.0869,4
90,36.31602,127.3874,jung-gu,192,0.21424,2.56017,1.45384,32.61032,8.22434,4
91,36.31692,127.39247,jung-gu,63,0.23812,3.06368,1.1915,34.66132,5.78836,4
92,36.31791,127.3947,jung-gu,85,0.24903,3.1608,1.43437,33.90411,34.0869,4
93,36.31894,127.40039,jung-gu,97,0.24968,3.20858,1.47431,33.37477,48.92482,4
94,36.31696,127.45461,dong-gu,45,0.14007,1.49946,1.12938,22.52742,24.52983,4
95,36.31692,127.45917,dong-gu,133,0.14024,1.49039,1.38582,48.47164,13.0403,4
97,36.31039,127.45561,dong-gu,123,0.14037,1.4523,0.93985,8.48475,49.59939,4
98,36.30542,127.45454,dong-gu,84,0.1516,1.59458,0.9814,17.93857,160.53357,4
99,36.30669,127.45683,dong-gu,62,0.13757,1.4572,1.02239,9.29741,49.69592,4
100,36.30699,127.45713,dong-gu,40,0.13757,1.4572,1.02239,9.29741,49.69592,4
101,36.31006,127.46146,dong-gu,26,0.14215,1.45481,0.89618,3.11814,40.89319,4
102,36.30372,127.4577,dong-gu,4,0.13413,1.45262,0.97779,23.85619,7.21598,4
104,36.37521,127.37812,yuseong-gu,193,0.17498,1.99656,1.96478,24.93933,150.88018,4
105,36.36418,127.35885,yuseong-gu,505,0.17825,2.05384,1.79734,22.91072,130.75675,4
107,36.37077,127.36665,yuseong-gu,461,0.13767,1.67184,2.21622,18.97927,316.25907,4
108,36.33196,127.33793,yuseong-gu,664,0.16285,1.81008,1.6582,20.83292,8.03455,4
109,36.34238,127.38767,seo-gu,402,0.16663,2.19403,2.92601,23.34165,198.46697,4
110,36.33757,127.39209,seo-gu,521,0.19913,2.46996,1.9906,24.02863,57.20781,4
111,36.33573,127.3966,seo-gu,211,0.1587,2.01365,2.67537,22.78092,186.77279,4
112,36.33193,127.38535,seo-gu,224,0.24732,3.08394,1.8302,31.01635,36.23311,4
113,36.32851,127.388,seo-gu,135,0.218,2.65346,2.19347,31.2482,22.43605,4
114,36.32974,127.39678,jung-gu,41,0.22657,2.79446,1.966,31.97721,61.8839,4
115,36.35749,127.43432,dong-gu,86,0.17557,2.27335,2.85625,23.33444,24.12942,4
116,36.35524,127.43679,dong-gu,153,0.16844,2.27988,3.02966,21.59156,27.16278,4
117,36.35066,127.44041,dong-gu,201,0.18833,2.48048,2.83223,21.39408,5.60014,4
118,36.34858,127.43508,dong-gu,201,0.13305,1.60994,1.92001,8.18707,64.72977,4
119,36.34952,127.43276,dong-gu,81,0.13305,1.60994,1.92001,8.18707,64.72977,4
120,36.35309,127.43219,dong-gu,102,0.1635,1.8289,2.06419,14.91744,87.97499,4
121,36.34714,127.43151,dong-gu,157,0.15377,1.74902,1.89541,11.94485,44.97189,4
122,36.35853,127.42368,daedeog-gu,377,0.17988,2.29394,2.65433,26.14175,28.18032,4
127,36.44862,127.42922,daedeog-gu,31,0.14977,1.6393,1.59333,32.97674,19.47287,4
128,36.44303,127.42948,daedeog-gu,1,0.14872,1.6442,1.47159,32.55427,19.57336,4
129,36.44858,127.43582,daedeog-gu,18,0.14772,1.64468,1.60076,32.06329,19,4
133,36.32873,127.40585,jung-gu,230,0.16108,1.89804,2.37134,28.912,125.74038,4
134,36.32606,127.40783,jung-gu,112,0.14935,1.83484,2.58947,28.84393,125.29565,4
135,36.32069,127.40595,jung-gu,273,0.29191,3.29096,1.36263,34.13036,13.95791,4
136,36.32565,127.42084,jung-gu,183,0.14268,1.75526,2.52277,24.40505,183.37607,4
137,36.31838,127.41165,jung-gu,70,0.27431,3.12153,1.37728,33.76986,15.4246,4
138,36.31648,127.40735,jung-gu,71,0.27465,3.17067,1.30268,33.57786,9.6094,4
139,36.32225,127.41146,jung-gu,331,0.23153,2.66649,1.79485,27.96441,200.10258,4
140,36.32759,127.42086,jung-gu,157,0.15432,1.84398,2.59599,28.25812,118.14921,4
141,36.33088,127.41908,jung-gu,29,0.16264,1.85621,2.573,31.80933,56.40397,4
142,36.33154,127.42249,jung-gu,188,0.1613,1.8425,2.4135,32.31817,52.4307,4
143,36.32783,127.42628,jung-gu,408,0.14252,1.65892,2.42665,25.26374,170.35073,4
145,36.34901,127.34753,yuseong-gu,120,0.1972,2.06707,2.35764,27.37685,66.82348,4
146,36.31189,127.34687,seo-gu,91,0.17107,1.85089,2.05778,29.77492,14.64932,4
147,36.31631,127.34522,seo-gu,63,0.17376,1.87803,2.07207,29.51151,13.76818,4
148,36.34823,127.34452,yuseong-gu,195,0.16784,1.86738,2.62178,30.27204,5.27799,4
149,36.34571,127.33889,yuseong-gu,158,0.16672,1.86377,2.2665,30.45405,5.28211,4
150,36.31241,127.34994,seo-gu,119,0.17042,1.84641,2.03759,29.85367,14.41011,4
151,36.33702,127.44779,dong-gu,426,0.15739,1.73789,0.90264,22.97511,25.83484,4
152,36.33222,127.43205,dong-gu,341,0.14813,1.72858,2.16402,28.3673,123.08445,4
153,36.32961,127.44245,dong-gu,356,0.14031,1.5979,1.37441,34.19239,28.06214,4
154,36.34798,127.41639,daedeog-gu,242,0.1589,1.70642,1.34201,8.13241,44.79615,4
155,36.35845,127.41124,daedeog-gu,182,0.16488,2.02927,2.72046,26.1795,51.1983,4
156,36.33596,127.4149,jung-gu,139,0.16376,1.85336,2.49279,31.62505,72.69105,4
157,36.34068,127.41063,jung-gu,168,0.16271,1.85381,2.44754,31.78398,66.19343,4
159,36.38548,127.37691,yuseong-gu,261,0.16912,1.84066,2.14941,29.95537,80.2473,4
162,36.43158,127.38734,yuseong-gu,61,0.14585,1.60389,1.23502,32.56762,18.67265,4
163,36.43307,127.38411,yuseong-gu,60,0.15268,1.63949,1.17955,32.84205,18.0156,4
164,36.42771,127.38739,yuseong-gu,55,0.14777,1.60442,1.27834,32.74179,18.94641,4
166,36.32193,127.43795,dong-gu,83,0.16078,1.71444,1.53893,25.02966,109.59036,4
167,36.32692,127.43491,dong-gu,152,0.13389,1.57078,2.40198,19.48415,279.45482,4
168,36.34101,127.43565,dong-gu,138,0.14268,1.59675,1.33549,10.09142,156.38091,4
169,36.33638,127.43026,dong-gu,106,0.15837,1.82125,2.07332,32.24857,52.35698,4
170,36.32284,127.42413,jung-gu,105,0.14108,1.65547,2.36077,26.41229,263.40818,4
171,36.32361,127.42865,jung-gu,100,0.14136,1.67931,2.35323,26.62814,345.73787,4
172,36.31328,127.434,jung-gu,108,0.1745,1.87602,1.5228,30.83208,30.13318,4
173,36.35793,127.37708,seo-gu,226,0.15208,1.80756,2.32498,18.10335,502.85457,4
174,36.30495,127.35299,seo-gu,259,0.20817,2.28823,1.99102,31.90014,19.87567,4
175,36.30235,127.33983,seo-gu,173,0.22944,2.62211,1.65993,33.76999,22.66866,4
176,36.29931,127.33498,seo-gu,129,0.29134,3.2439,1.12305,38.04567,35.91472,4
177,36.30381,127.33717,seo-gu,103,0.22116,2.40955,1.78566,33.04431,25.24464,4
184,36.35257,127.41554,daedeog-gu,32,0.14057,1.65642,1.84264,18.17718,69.10333,4
185,36.35513,127.44602,daedeog-gu,142,0.20565,2.85963,3.59998,31.22827,7.42868,4
187,36.34426,127.34731,yuseong-gu,157,0.18141,1.92749,1.89178,28.6093,7.59337,4
188,36.29877,127.32955,seo-gu,83,0.27246,3.22834,1.17474,36.95109,28.02606,4
189,36.29976,127.32035,yuseong-gu,214,0.25813,3.12013,0.94377,34.4982,5.54138,4
190,36.30376,127.31846,yuseong-gu,57,0.25998,3.10549,0.8632,34.53256,5.41253,4
191,36.32123,127.44496,dong-gu,81,0.14933,1.65655,1.55387,22.26437,49.01543,4
192,36.31763,127.42572,jung-gu,73,0.16368,1.77189,1.84304,26.62872,118.96373,4
193,36.30969,127.44199,jung-gu,52,0.1526,1.50688,0.81717,18.50875,628.85458,4
194,36.30477,127.44931,jung-gu,36,0.16863,1.73285,0.87645,19.19727,303.64718,4
195,36.31018,127.40828,jung-gu,318,0.27823,3.20735,0.96394,33.42217,7.69031,4
196,36.37411,127.4203,daedeog-gu,64,0.21614,2.73256,2.57997,30.85028,13.40619,4
197,36.32018,127.37767,seo-gu,201,0.25261,3.03422,1.35727,31.1827,21.38086,4
198,36.31381,127.37964,seo-gu,154,0.23388,2.77535,1.37086,32.4203,12.92726,4
202,36.32053,127.34401,seo-gu,146,0.17227,1.8701,2.14714,29.60757,14.49503,4
203,36.36881,127.33689,yuseong-gu,347,0.23137,1.92014,0.81351,30.70037,12.95855,4
206,36.33521,127.4565,dong-gu,227,0.12921,1.50708,1.15191,31.01124,44.03371,4
207,36.34353,127.44225,dong-gu,116,0.17424,1.87015,1.03111,0,32.75393,4
208,36.37899,127.42678,daedeog-gu,36,0.20264,2.77742,3.26327,31.70626,12.52856,4
209,36.37437,127.42808,daedeog-gu,20,0.21149,2.85009,3.20898,31.93141,11.01867,4
211,36.44741,127.42642,daedeog-gu,7,0.14977,1.6393,1.59333,32.97674,19.47287,4
216,36.30638,127.34168,seo-gu,234,0.17315,1.8724,2.23659,29.51083,18.62588,4
217,36.30054,127.37889,seo-gu,250,0.16358,1.8,1.57554,31.68234,5.85588,4
218,36.31819,127.41697,jung-gu,96,0.19654,2.21596,1.95778,31.15843,74.1049,4
219,36.31309,127.39943,jung-gu,45,0.25918,3.14752,1.08832,34.23916,6.69601,4
220,36.30958,127.3881,jung-gu,110,0.24882,2.87245,1.24796,33.36567,6.57432,4
221,36.34912,127.36835,seo-gu,79,0.23709,2.9032,1.38011,32.37081,26.63016,4
222,36.34426,127.36801,seo-gu,225,0.24678,3.0633,1.39176,31.03613,36.3073,4
223,36.35341,127.45401,daedeog-gu,91,0.19183,2.7626,3.96885,31.15645,6.92576,4
224,36.30734,127.36403,seo-gu,134,0.23109,2.37736,1.09439,34.26125,14.88971,4
225,36.34893,127.45146,dong-gu,273,0.18156,2.28576,2.3938,16.30484,20.655,4
1,36.37458,127.38613,yuseong-gu,9,0.190434783,2.184637681,1.956666667,30.44927536,58.86956522,1
2,36.37439,127.39238,yuseong-gu,8,0.167878788,1.841212121,2.240909091,30.12121212,81.81818182,1
5,36.36497,127.38886,seo-gu,27,0.314411765,2.712941176,1.656078431,24.2254902,5.362745098,1
6,36.36232,127.37643,seo-gu,36,0.247272727,3.016787879,2.304060606,31.36969697,36.63636364,1
7,36.36205,127.3797,seo-gu,17,0.245893417,2.515125392,1.188871473,15.94670846,32,1
8,36.36195,127.39043,seo-gu,70,0.314411765,2.712941176,1.656078431,24.2254902,5.362745098,1
9,36.36166,127.37418,seo-gu,17,0.247272727,3.016787879,2.304060606,31.36969697,36.63636364,1
11,36.35881,127.37416,seo-gu,20,0.087368421,1.28112782,1.785488722,6.368421053,1.781954887,1
12,36.35793,127.38155,seo-gu,40,0.35591954,3.134482759,1.012643678,24.14942529,18.47126437,1
13,36.35881,127.39541,seo-gu,21,0.167003484,2.033101045,2.043170732,13.98606272,18.45644599,1
14,36.35553,127.37915,seo-gu,30,0.22328125,2.341349432,1.77890625,13.55397727,309.1065341,1
15,36.35542,127.39008,seo-gu,36,0.366564417,3.073190184,1.178282209,22.42944785,2.914110429,1
17,36.35208,127.37876,seo-gu,30,0.281724942,2.815920746,1.438158508,18.27972028,20.47086247,1
18,36.35111,127.38457,seo-gu,27,0.269567568,2.549675676,1.196459459,11.19594595,18.26756757,1
19,36.35136,127.38755,seo-gu,65,0.269567568,2.549675676,1.196459459,11.19594595,18.26756757,1
20,36.35111,127.39175,seo-gu,23,0.42060241,3.429879518,1.150180723,9.861445783,3.638554217,1
23,36.36617,127.3639,yuseong-gu,24,0.255982906,3.124852802,1.730541311,29.71889839,65.74833808,1
26,36.37693,127.37875,yuseong-gu,8,0.167272727,1.820909091,1.88,29,75.54545455,1
27,36.37715,127.37938,yuseong-gu,14,0.167272727,1.820909091,1.88,29,75.54545455,1
29,36.36751,127.37516,seo-gu,61,0.122295082,1.553852459,1.763770492,14.37704918,158.4344262,1
30,36.36197,127.37923,seo-gu,40,0.245893417,2.515125392,1.188871473,15.94670846,32,1
31,36.36177,127.35748,yuseong-gu,76,0.298494845,3.108536082,1.456309278,22.26597938,89.37113402,1
32,36.35929,127.3545,yuseong-gu,39,0.161587302,2.023015873,1.977777778,25.57142857,33.84126984,1
33,36.35849,127.3612,seo-gu,99,0.217513228,2.726931217,1.937883598,29.78835979,51.53439153,1
34,36.35821,127.36614,seo-gu,52,0.27111336,2.473785425,1.275283401,9.805668016,32.37348178,1
35,36.35758,127.37206,seo-gu,31,0.27111336,2.473785425,1.275283401,9.805668016,32.37348178,1
36,36.35751,127.39652,seo-gu,29,0.15800885,1.704690265,1.561858407,56.51327434,32.33628319,1
37,36.35791,127.39764,seo-gu,6,0.15800885,1.704690265,1.561858407,56.51327434,32.33628319,1
38,36.35456,127.35479,seo-gu,14,0.145925926,1.886666667,2.02,25.59259259,32.18518519,1
39,36.35121,127.35193,seo-gu,3,0.183125,1.869270833,1.054270833,30.40625,31.95833333,1
40,36.35279,127.35605,seo-gu,4,0.18372093,2.067596899,1.478992248,48.62790698,40.2248062,1
41,36.35373,127.36185,seo-gu,9,0.183216374,1.96754386,1.497426901,36.31578947,60.34502924,1
42,36.35342,127.3679,seo-gu,18,0.273181818,3.43530303,2.193484848,32.89393939,82.5,1
43,36.35333,127.37441,seo-gu,32,0.411904762,3.183238095,1.043428571,8.133333333,2.647619048,1
46,36.34756,127.37725,seo-gu,55,0.281724942,2.815920746,1.438158508,18.27972028,20.47086247,1
47,36.34845,127.38278,seo-gu,21,0.478709677,3.726129032,1.041935484,9.35483871,2.870967742,1
48,36.34651,127.38513,seo-gu,47,0.478709677,3.726129032,1.041935484,9.35483871,2.870967742,1
52,36.34348,127.38114,seo-gu,29,0.14249497,1.86167002,2.092394366,11.5472837,133.1911469,1
53,36.34336,127.38346,seo-gu,11,0.118150289,1.663468208,1.863236994,9.601156069,16.00578035,1
54,36.36503,127.33865,yuseong-gu,46,0.190855856,2.005495496,1.492252252,39.53153153,104.4279279,1
55,36.36245,127.34413,yuseong-gu,57,0.318156028,2.839787234,0.954609929,23.0212766,19.04964539,1
56,36.36174,127.34499,yuseong-gu,75,0.318156028,2.839787234,0.954609929,23.0212766,19.04964539,1
57,36.35793,127.34279,yuseong-gu,25,0.309312715,2.896975945,1.473676976,19.44329897,49.67353952,1
58,36.35643,127.33112,yuseong-gu,12,0.238296943,2.160480349,1.108951965,15.9650655,28.59825328,1
59,36.35426,127.3415,yuseong-gu,37,0.29870317,2.749106628,0.898616715,17,26.59942363,1
60,36.35321,127.34113,yuseong-gu,50,0.29870317,2.749106628,0.898616715,17,26.59942363,1
61,36.35213,127.34601,yuseong-gu,7,0.183125,1.869270833,1.054270833,30.40625,31.95833333,1
71,36.37147,127.42859,daedeog-gu,2,0.209,2.820375,3.281625,31.8125,13.2,1
73,36.36741,127.42974,daedeog-gu,4,0.210934579,2.837009346,3.133598131,31.62616822,14.08411215,1
74,36.36668,127.42607,daedeog-gu,11,0.207659574,2.823617021,3.486170213,31.42553191,12.36170213,1
75,36.36652,127.43036,daedeog-gu,10,0.210934579,2.837009346,3.133598131,31.62616822,14.08411215,1
77,36.36836,127.44031,daedeog-gu,10,0.232758621,3.00137931,3.23862069,31.37931034,14.86206897,1
78,36.36318,127.43128,daedeog-gu,4,0.208064516,2.810322581,3.088064516,31.62903226,11.96774194,1
79,36.36201,127.43554,daedeog-gu,1,0.226071429,2.94702381,2.915714286,31.5,13.30952381,1
80,36.36285,127.4387,daedeog-gu,2,0.215454545,2.887272727,3.142045455,31.84090909,10.65909091,1
81,36.36466,127.44097,daedeog-gu,3,0.232758621,3.00137931,3.23862069,31.37931034,14.86206897,1
82,36.36604,127.44487,daedeog-gu,26,0.229393939,2.991287879,3.152121212,31.34848485,11.50757576,1
83,36.33065,127.39826,jung-gu,17,0.247586207,3.171724138,1.694827586,32.34482759,96.27586207,1
84,36.32624,127.39281,jung-gu,5,0.2761875,3.455125,1.7386875,33.06875,84.68125,1
85,36.32613,127.39697,jung-gu,8,0.2761875,3.455125,1.7386875,33.06875,84.68125,1
86,36.32327,127.39363,jung-gu,15,0.245809524,3.189904762,1.820190476,32.25714286,90.53333333,1
87,36.32256,127.39745,jung-gu,16,0.245809524,3.189904762,1.820190476,32.25714286,90.53333333,1
88,36.32143,127.39401,jung-gu,2,0.245809524,3.189904762,1.820190476,32.25714286,90.53333333,1
89,36.31978,127.39241,jung-gu,10,0.244923077,3.156769231,1.834923077,32.06153846,89.8,1
90,36.31602,127.3874,jung-gu,14,0.258333333,3.082222222,1.371111111,31.25,21.27777778,1
92,36.31791,127.3947,jung-gu,1,0.244923077,3.156769231,1.834923077,32.06153846,89.8,1
93,36.31894,127.40039,jung-gu,2,0.261136364,3.320738636,1.735909091,32.69886364,87.25,1
94,36.31696,127.45461,dong-gu,2,0.139855072,1.50057971,1.133478261,23.97101449,6.942028986,1
95,36.31692,127.45917,dong-gu,11,0.136153846,1.455769231,1.16,24.69230769,7.307692308,1
97,36.31039,127.45561,dong-gu,6,0.139942857,1.47,0.984914286,11.62857143,51.56,1
98,36.30542,127.45454,dong-gu,5,0.126190476,1.396666667,1.120714286,23.5952381,6.785714286,1
99,36.30669,127.45683,dong-gu,1,0.139942857,1.47,0.984914286,11.62857143,51.56,1
100,36.30699,127.45713,dong-gu,1,0.139942857,1.47,0.984914286,11.62857143,51.56,1
104,36.37521,127.37812,yuseong-gu,13,0.167272727,1.820909091,1.88,29,75.54545455,1
105,36.36418,127.35885,yuseong-gu,60,0.298494845,3.108536082,1.456309278,22.26597938,89.37113402,1
107,36.37077,127.36665,yuseong-gu,31,0.144431138,1.845568862,2.239640719,15.31137725,487.7065868,1
108,36.33196,127.33793,yuseong-gu,39,0.154778555,1.721561772,0.969277389,2.622377622,2.354312354,1
109,36.34238,127.38767,seo-gu,33,0.250551181,3.096614173,1.712755906,31.64566929,82.67716535,1
110,36.33757,127.39209,seo-gu,31,0.259090909,3.193636364,1.610909091,30.27272727,47.27272727,1
111,36.33573,127.3966,seo-gu,8,0.111875,1.555416667,1.920694444,8.159722222,9.118055556,1
112,36.33193,127.38535,seo-gu,26,0.25030303,3.112727273,1.623333333,30.33333333,44.54545455,1
115,36.35749,127.43432,dong-gu,9,0.111666667,1.509444444,2.096666667,2.888888889,3.666666667,1
116,36.35524,127.43679,dong-gu,19,0.107142857,1.474642857,2.1525,3.321428571,0.785714286,1
117,36.35066,127.44041,dong-gu,15,0.107142857,1.474642857,2.1525,3.321428571,0.785714286,1
118,36.34858,127.43508,dong-gu,10,0.116345811,1.479073084,1.814884135,8.625668449,20.75044563,1
119,36.34952,127.43276,dong-gu,2,0.116345811,1.479073084,1.814884135,8.625668449,20.75044563,1
120,36.35309,127.43219,dong-gu,5,0.15435,1.7713,1.31585,2.005,3.38,1
121,36.34714,127.43151,dong-gu,17,0.116345811,1.479073084,1.814884135,8.625668449,20.75044563,1
122,36.35853,127.42368,daedeog-gu,27,0.167687627,1.909858012,1.515557809,10.43407708,35.25963489,1
133,36.32873,127.40585,jung-gu,14,0.13697446,1.704204322,1.983104126,19.66797642,42.07858546,1
134,36.32606,127.40783,jung-gu,9,0.13697446,1.704204322,1.983104126,19.66797642,42.07858546,1
135,36.32069,127.40595,jung-gu,27,0.250392157,3.224509804,1.81627451,31.66666667,97.56862745,1
136,36.32565,127.42084,jung-gu,9,0.153417722,1.875189873,2.41443038,17.77848101,57.26582278,1
137,36.31838,127.41165,jung-gu,14,0.181724138,1.887241379,1.646896552,31.24137931,40.55172414,1
139,36.32225,127.41146,jung-gu,11,0.249310345,3.182413793,1.777241379,31.77586207,88.32758621,1
140,36.32759,127.42086,jung-gu,13,0.127763496,1.616863753,2.470951157,13.49614396,29.49871465,1
143,36.32783,127.42628,jung-gu,6,0.123820225,1.558726592,2.674494382,11.58426966,38.57677903,1
145,36.34901,127.34753,yuseong-gu,11,0.156146953,1.695394265,2.081899642,1.792114695,533.3405018,1
151,36.33702,127.44779,dong-gu,31,0.140180995,1.594886878,0.941131222,45.95022624,20.66968326,1
152,36.33222,127.43205,dong-gu,31,0.13641791,1.628258706,2.506218905,13.97014925,53.85074627,1
153,36.32961,127.44245,dong-gu,25,0.142183908,1.585862069,1.103505747,47.52873563,15.23563218,1
154,36.34798,127.41639,daedeog-gu,9,0.16871134,1.737628866,0.980309278,5.737113402,53.25257732,1
155,36.35845,127.41124,daedeog-gu,24,0.159180328,1.799508197,1.732459016,9,27.98360656,1
156,36.33596,127.4149,jung-gu,7,0.16362069,1.86137931,2.061206897,31.79310345,84.5,1
157,36.34068,127.41063,jung-gu,23,0.16,1.824,2.2,31.8,78.6,1
159,36.38548,127.37691,yuseong-gu,11,0.166463415,1.830121951,2.082804878,30.07317073,81.13414634,1
